review, sentiment
"Bergman and comedy don't quite go together. Some of his comedies are so naff you almost wince. This film has the odd naff moment - the last 30 seconds being the nadir, but on the whole this is a charming (rather than funny) piece, enjoyable throughout. Bergman casts several of his usual suspects who perform well. There is a great scene on the train between David, Marianne and an uncouth salesman which will stick in the memory. Some of the marriage material is typical, cynical Bergman, but this is Bergman in a light rather than dark mood.<br /><br />This film has its moments and is worth the 90-odd minutes. Not one of his classics and not the place to start if you want to fall for Bergman.",positive
"One can always tell if I'm enjoying a movie by the number of times I cross my legs, switch positions, make slight rustling noises, etc., etc. The lesser = the better. I moved so many times throughout this movie that I succeeded in knocking over my friends giant tub of popcorn and getting a huge thigh-strengthening workout.<br /><br />Sobieski, a young actress who at some points in ""A Soldier's Daughter Never Cries"" gave some promise for her thespian talents, played poorly in a poorly-written part. Depressing fact number one. Number two: Chris Klein was in it. Depressing fact number three: Chris Klein had lines. Number four: Chris Klein played a valedictorian. Woah. Dummies from rich families unite! Even worse, he actually tries to act, but only succeeds in sounding like a mentally disabled overactor in an increasingly sappy independent version of a Cecille B. DeMille film. Go back to humping your American Pies.<br /><br />This movie was terrible in almost every sense, save Josh Hartnett's mildly endearing performance as LeeLee's stiffed boyfriend Jasper. Luckily, he refrains from trying to have too many ""moments,"" unlike all the other characters. Of course, this is why he's much better than the rest and he actually shows some mettle here. If you like Josh or are thinking of casting a kid who knows a few things, he's your man. <br /><br />Hartnett is a sharp actor, but the rest need no further lambasting.<br /><br />2 out of 10 (for poor Hartnett in this terrible film)<br /><br />",negative
"Two horse traders arrive in a town and meet up with the leader of a group of Mormons who are bound for a valley where they can settle and live in peace. The scenes of the corral in the town where Ward Bond and Ben Johnson negotiate prices, and Bond introduces the idea of them (Johnson and his partner played by Harry Carey Jr.) leading the train to this valley, are some of the best in the film, as Johnson, a real cowboy, whittles a piece of wood while he banters with Bond. Once on the trail they come upon Joanne Dru, who maybe John Ford saw in Red River, and offered her a much better part in this film. In the Morman train are a number of notable characters. The Mormans are a peaceable group who are challenged along the way by a truly lowlife group of outlaws. In their case (the outlaws), in the case of the people on the train, and later a band of Navajos whom they encounter, and in the well written characters played by Ben Johnson and Ward Bond, the film completely evades stereotypes, while the camera seems to spend as much time giving the viewer the big picture of Monument Valley framing the train as it moves along with a few water crossings along the way, in stunning black and white and then coming back to what's happening in this rolling community, all to the accompaniment of the beautiful vocalizations of the Sons of the Pioneers.",positive
"""9/11,"" hosted by Robert DeNiro, presents footage from outside and inside the Twin Towers in New York, on September 11, 2001.<br /><br />Never too grisly and gory, yet powerful and moving. ""9/11"" is a real treat. Anyone not moved by this television show is immune to anything.<br /><br />5/5 stars --<br /><br />",positive
"An archaeologist (Casper Van Dien) stumbles accidentally upon an ancient, 40 foot mummy, well preserved underground in the Nevada desert. They are determined to keep this a secret and call in a Jewish translator to assist in figuring out the history of it. The mummy, as explained at the beginning, is the son of a fallen angel and is one of several giants that apparently existed in ""those days"". In order to save his son from a devastating flood which was predicted to kill everything, he mummifies his son, burying him with several servants for centuries - planning to awaken him years from then. In our present, the fallen angels still walk the earth and the mummy is resurrected and a ritual is expected to take place. Most of the movie is slow, having to do with a lot of biblical crap and a couple lousy, air-punching fights. The mummy is decent looking but isn't shown nearly enough. It should have had more to do with that but it dragged on a great deal so... eh. Don't bother.",negative
"Frankly I'm amazed to see that this movie is getting relatively good reviews. I'll be completely honest and say that the only reason I even got through it is because of Ryan Phillippe, and not for reasons particularly connected with his abilities as an actor, though I think over the last years he has proved himself to be a better actor than his first major roles in the late 1990's indicated.<br /><br />As far as action/suspense movies go, this movie fails in nearly every respect. The acting is OK, I guess, but the script is absolutely horrible and makes very little sense, a fact which the filmmakers try to cover up by adding absurd references to Chaos theory, as if it would convince anyone that the film is actually 'clever' - but then again, judging from other reviews, some were. Don't be fooled: the script is a boring, derivative mess and no other element of the movie makes up for it. Wesley Snipes has probably never had a less interesting role in a film, and Statham is a thoroughly dull actor.<br /><br />Not recommended.",negative
"**** MILD SPOILERS _ BUT YOU PROBABLY KNOW THE PLOT ****<br /><br />Woman gets raped and decides to take out her rage on all of mankind . Oh did I mention the rape victim was mute ? That`s the problem with MS 45 , Thana the rape victim decides she`s going to kill men but is there any logical explanation to any of this ? Surely the whole film would have better if we had Thana give a voice over as to why she`s bumping off any man she comes across ? There`s just not enough development to this plot<br /><br />As you`d expect from a film by Ferrara it`s not a complete waste of time . it`s far better than I SPIT ON YOUR GRAVE and pseudo intellectuals will have a field day pointing out the irony of the woman holding a knife like a penis as Thana goes on a killing spree at the end . But the script is somewhat silly and underdeveloped and hinders any serious comment the film could have made",negative
"Having not read the novel, I can't tell how faithful this film is. The story is typical mystery material: killer targets newlyweds; woman investigator falls in love with her partner and is diagnosed with a fatal disease. Yes, it sounds like a soap opera and that's exactly how it plays. The first 2/3 are dull, save for the murders and the last 1/3 makes a partial comeback as it picks up speed toward its twisty conclusion.<br /><br />Acting is strictly sub par, though it's hard to blame the actors alone: the screenplay is atrocious. During the last 1/3 you stop noticing because the film actually becomes interesting, but that's only the last 1/3. Director Russell Mulcahy is very much in his element, but there's only so much he can do with a TV budget and the network censors on his back. He's pretty much limited to quick cutting and distorted lenses, though he managed to squeeze in a couple ""under the floor"" shots during the murders in the club restroom. Unfortunately, as this is made for TV, the cool compositional details he uses so well with a wider image are nowhere to be found. Note to producers: give this man a reasonable budget and an anamorphic lens when you hire him.<br /><br />Summing it up: this film is bad by cinema standards and mediocre by TV standards(watch CSI, instead). If you're in the mood for a film like this, I've some excellent suggestions: pick up a copy of Dario Argento's ""Deep Red""(my highest recommendation; superb film), ""Opera"", or even ""Tenebre"". They're stronger in every category.",negative
"Though not a fan of Sam Rockwell, I was surprised when I saw his name in the credits in the opening of 'Joshua.' Heck, I wasn't even aware he was in 'Joshua' until I started the movie. So it goes without saying, I was watching the movie on the basis of the movie, not the leads. A sort of 'Rosemary's Baby,' 'The Omen' or any other demonic kid movie 'Joshua' was billed. Unfortunately, it fell flat. Slow, incredibly slow, and flat. Yet, I continued on to see how this would all resolve, hoping beyond belief, the ending climax would shed some light on the subject. Okay, I admit, it did (a wee bit) but what a stale closing. And what a low-low budget movie, or at least that's how they designed it. A person falls  you don't see the drop, you see someone lying down in what appears to be blood. A person gets hit by a cab  you don't see it, you see someone complaining, holding a bike up. I'm not sure if this is called ""style"" or laziness or simply, lack of funds for special effects. We have a ""rich"" family with a crazy mom, a workaholic father attempting to balance everything, a kid  Joshua, who may/may not be the antichrist and a new born baby girl who cries a lot. She cries as much as we see how many days she's alive  and what was that about? Are there rats above or is it Joshua? Is his mother nuts? Is Joshua crazy? Is he merely jealous of the newcomer to the family? Is he going to grow up to be Michael Myers? Or does he drive his family to the brink? I don't think so. They were nuts prior, and no ""so-called"" acting could make me believe otherwise. Unfortunately, barely any questions were answered, barely any open doors shut. I'm sure that might have been the idea, but for Pete's sake, give me something. Anything. There are plenty better kid-gone-wild movies to explore. Joshua's more like the Mini-Me of the antichrist.",negative
"What a outstanding movie is this i have not words to describe. i don't know how come the rating of the movie is 7.3 it should be 9.3 but anyways no one else can make this movie and the acting by Akshay is just outstanding the second half of the movie makes u cry and the movie has a really good unexpected ending which makes the movie perfect. you should watch this movie once, i think twice well it's up to u. Anyways i love this movie and it's not just sad and funny but it also gives u a really good meanings and what u should be doing so i think this is one of the best movie in the bollywood history. but i know the people has deferent chooses so ya. the only thing i don't like about this movie is the music well the background music is good but the songs are not good enough i think the music would be better if A R Rahman would be the music director but anyways we can't do anything about that so ya.",positive
"This is one of the most awful movies I've had the misfortune of picking up. Don't get me wrong, I love a good zombie flick, but this wasn't one of them.<br /><br />...Might as well (from the opening scenes, at least) been called 'Titty Zombies from Outer Space'. It had absolutely nothing to do with the other movie or the video game (as far as I could tell.) <br /><br />The best aspect of the film is how the two main characters can get covered with so much blood and remain so nonplussed. I would certainly suggest giving this one and miss and staying with a safer zombie pleaser like '28 Days Later' or 'Dawn of the Living Dead' (the remake, of course, unless you're into some serious campy action.)",negative
"My local PBS station WHYY Philadelphia recently showed ""The Elegant Universe."" After three hours of watching it, besides having my brain hurt, I learned all about wormholes, quantum mechanics and parallel realities and alternate universes.<br /><br />The last hour of the show was about ""String Theory"" Physics, a semi-new branch of physics which makes many of the the ideas of science fiction not only possible, but PROBABLE. With the ""String Theory"" it sounds like wormholes, alternate realities and alternate timelines ARE possible and it could just be a matter of time until we get the knowledge to use them.<br /><br />Although it may not have given new information to someone familiar with the topic, I found the show VERY interesting and informative. It was very understandable to anyone who is just being introduced to this subject.",positive
"There were some decent moments in this film, and a couple of times where it was pretty funny. However, this didn't make up for the fact that overall, this was a tremendously boring movie. There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by. There was better chemistry between him and Liv Tyler in Armageddon. Hell, there was better chemistry between Sly and Sandra in Demolition Man.<br /><br />There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.<br /><br />This was a poor remake of ""My Best Friends Wedding"". Wait until it's been out for a year and a half on video and rent it in the .49 cent bin if you've got nothing else to do on a rainy Sunday afternoon, and you can't think of any better movies to rent.",negative
"First of all let me say that I had to think a lot about writing a comment for this movie. The best review for this kind of Cinema can be just the silence. Movie addressed to housewives and to grandmothers. This movie tries to look ""genuine"" and the characters should be supposed ""real people"". An Italian could never think that the characters might be ""real"": they are just ""low-profile"" stereotypes. It gives a very misguised vision of what life is in the Italian countryside. The plot is weak (plot? which plot?) and the humour does not make laugh anyone older than 12.",negative
"REnted this one accidentally, it was behind the movie box of what i thought i was renting, didn't find out until i got home, watched it anyways. Absolutely FANTASTIC! a wonderful movie, and one of my top three favorite of all time, i recommend it to Everyone!<br /><br />The story is enjoyable and easy to follow, this could have been easily messed up, but the actors and director do a great job of keeping it together.<br /><br />The actors themselves are fantastic, displaying wonderful character and doing a terrific job. <br /><br />Gotta find a copy somewhere...........",positive
"...apparently Bernard Cribbins ad libbed nearly all of his lines. If you can sit through the 'Daddy! Oh my daddy"" bit without blubbing then you really need to get in touch with your inner child (trust me. I'm a 41 year old bloke).",positive
"Having seen just about every movie on record that a child of the eighties could have seen, this ranks at the very, very, very bottom of the heap of bad movies I have ever seen. It's depressing and just plain, painful to watch. Nuff said.",negative
"This movie was so bad it looked like a home movie. In one scene, the camera very slowly and gradually tilts down, then moves back up into place again. The sound is crackly, and occasionally fades out then in again. In another scene, the camera man is just visible in a mirror.<br /><br />Then came the scene with instructions how to put down a tent... which, believe me, went on for ages and was completely irrelevant to the plot. Most scenes dragged on with conversations that were not entirely relevant either. In my opinion these were just to fill out the movie and make it longer. Even with these scenes added it was very short.<br /><br />The only good thing about it was the severed head, which did look quite realistic.",negative
"A warning to potential viewers of this experimental film: the nature of the imagery and the effects are such that this is one of those types of films that should really be seen ON film, projected. The pixellation created by digital transfers sucks a lot of depth and adds a lot of noise to already abstract and grainy film. However, since this movie is pretty much unavailable in any format, I suppose you'll have to make do with what you can.<br /><br />Anyway, this most excellent artistic endeavor comes courtesy of the guy who would eventually give us Shadow of the Vampire. It's a dark and dirty film of the genesis of the elements (as far as I can glean from the character names) through a process horrifying and surreal. Begotten is a very good example of what is known as abject art, a stylistic approach that seeks meaning through the visceral more than the thematic.<br /><br />And visceral describes it. Not very much stuff happens in the movie technically, but the levels of emotion it'll put you through are innumerable. The very repetitiveness of some of the imagery creates a mesmerizing catch over the senses. The sound editing and score in particular are immaculate, and serve the imagery incredibly well.<br /><br />Fans of this film would do well to check out the collections of short films released through Other Cinema DVD, Experiments in Terror I, II, and III. Movies such as these make me more and more certain that the realm of true horror resides in the abstract, abject, and non-narrative, rather than in spooky tales of ghosts and axe-murderers.<br /><br />--PolarisDiB",positive
"a bit slow and boring, the tale of an old man and his wife living a delapidated building and interacting with a fixed cast of characters like the mailman, the brothers sitting on the porch, the wealthy cigar smoking man. The photography of the river is marvelous, as is the interior period decoration. If you like decoration of Banana Republic stores, this is a must.",positive
"Although this movie has a slow, dream-like, almost mesmerizing pace, and an interesting, though possibly not entirely accurate, description of a rural French constabulary's criminal investigation practices and personnel, I find it, ultimately, impossible to recommend. I think this movie is simply a setup piece to advance one person's -- the director's, one presumes -- disgust with heterosexuality. Certainly, human sexuality in all its forms can have their revolting moments, no denying that! But to choose the bad uniformly at the expense of the good, as this film does at every turn, suggests a warped sensibility at work. In short, if you enjoy watching homo-eroticism masquerading as compassion, and the depiction of heterosexual lovemaking and the female form in a hideous and degrading light - then this movie is for you. I don't , and it wasn't.",negative
"I don't recall walking out of a movie theater except this once. Not only that, but I was with 7 friends, and we all wanted to go. An uninteresting plot, characters made of clay, violence with no point. I didn't care when the good guys died; I didn't care when the bad guys got it. The fantasy and magic was laid on thick as liver pudding and there was no coherency. In short, fine entertainment if you happen to be spending an eternity in Hell.",negative
"I am so disappointed. After waiting for 3 years for repeats/the DVD of the original masterpiece series ""Darkplace"" i couldn't wait for this series. The first episode just ended and I am appalled. Everything that was great about Darkplace has been erased here, pretty much. Worst introduction: canned laughter. this takes the original point of it away and just renders it nearly unwatchable. (one joke about Garth's eyes fertilizing the audience was good... the rest i can hardly remember...) it feels like a poor quality ""Knowing Me, Knowing You."" I hope this improves as the series goes on, otherwise i shall be seriously disappointed. back to ""Darkplace...""<br /><br />""You are the most compassionate man I ever known. And i know God...""",negative
"It's always nice to see Angela Bassett getting to do a role that she can really sink her teeth into. She is at times intense, funny and even sexy in her role as Lena, a ""colored"" woman forced to make a home on a desolate mudbank just outside of Cape Town, South Africa. Danny Glover is also good in a not entirely sympathetic role as her partner, Boesman. Willie Jonah gives a finely nuanced performance as the stranger that discovers Boesman and Lena's new living area. It's not often that you get a chance to see an intelligent film dealing with mature themes. Although it is based on a play, the late director John Berry (who also directed Claudine) opens the material up by having the film shot in the widescreen Cinemascope format. He also keeps things visually interesting through the creative blocking of actors and by showing us things only mentioned in the play. Just like Diahann Carroll in Claudine, John Berry may have directed Angela Bassett into an Academy Award nomination. This is definitely a film worth searching for.",positive
